"_id",kanji,cardid,volume
5899e7defe6fca451b590635,漢,186,Series 2 Volume 1
5899e7defe6fca451b590640,田,197,Series 2 Volume 1
5899e7defe6fca451b59065d,習,226,Series 2 Volume 1
5899e7defe6fca451b590677,質,252,Series 2 Volume 1
5899e7defe6fca451b590690,開,277,Series 2 Volume 1
5899e7defe6fca451b590693,集,280,Series 2 Volume 1
5899e7defe6fca451b5906be,任,323,Series 2 Volume 2
5899e7defe6fca451b5906ca,価,335,Series 2 Volume 2
5899e7defe6fca451b5906d6,停,347,Series 2 Volume 2
5899e7defe6fca451b5906f3,刷,376,Series 2 Volume 2
5899e7defe6fca451b5906f9,割,382,Series 2 Volume 2
5899e7defe6fca451b5906fe,努,387,Series 2 Volume 2
5899e7defe6fca451b590721,向,422,Series 2 Volume 2
5899e7defe6fca451b590733,因,440,Series 2 Volume 2
5899e7defe6fca451b590741,城,454,Series 2 Volume 2
5899e7defe6fca451b590743,基,456,Series 2 Volume 2
5899e7defe6fca451b590748,境,461,Series 2 Volume 2
5899e7defe6fca451b59074a,壁,463,Series 2 Volume 2
5899e7defe6fca451b59076c,察,497,Series 2 Volume 2
5899e7defe6fca451b590770,将,501,Series 2 Volume 2
5899e7defe6fca451b590772,導,503,Series 2 Volume 2
5899e7defe6fca451b590785,席,522,Series 2 Volume 2
5899e7defe6fca451b59078f,床,532,Series 2 Volume 2
5899e7defe6fca451b590790,底,533,Series 2 Volume 2
5899e7defe6fca451b5907a5,忘,554,Series 2 Volume 2
5899e7defe6fca451b5907aa,怒,559,Series 2 Volume 2
5899e7defe6fca451b5907ac,性,561,Series 2 Volume 2
5899e7defe6fca451b5907b0,息,565,Series 2 Volume 2
5899e7defe6fca451b5907b7,感,572,Series 2 Volume 2
5899e7defe6fca451b5907de,放,611,Series 2 Volume 2
5899e7defe6fca451b5907e4,敬,617,Series 2 Volume 2
5899e7defe6fca451b5907eb,易,624,Series 2 Volume 2
5899e7defe6fca451b5907ee,昨,627,Series 2 Volume 2
5899e7defe6fca451b5907f7,曲,636,Series 2 Volume 2
5899e7defe6fca451b5907ff,材,644,Series 2 Volume 2
5899e7defe6fca451b590804,枚,649,Series 2 Volume 2
5899e7defe6fca451b59080e,格,659,Series 2 Volume 2
5899e7defe6fca451b590818,権,669,Series 2 Volume 2
5899e7defe6fca451b590821,歳,678,Series 2 Volume 2
5899e7defe6fca451b590834,沿,697,Series 2 Volume 2
5899e7defe6fca451b59083b,泥,704,Series 2 Volume 2
5899e7defe6fca451b5905f3,建,120,Series 2 Volume 1
5899e7defe6fca451b590607,旅,140,Series 2 Volume 1
5899e7defe6fca451b5905f7,強,124,Series 2 Volume 1
5899e7defe6fca451b5905fa,心,127,Series 2 Volume 1
5899e7defe6fca451b590603,文,136,Series 2 Volume 1
5899e7defe6fca451b590604,料,137,Series 2 Volume 1
5899e7defe6fca451b59061d,来,162,Series 2 Volume 1
5899e7defe6fca451b59061e,東,163,Series 2 Volume 1
5899e7defe6fca451b590626,止,171,Series 2 Volume 1
5899e7defe6fca451b590631,注,182,Series 2 Volume 1
5899e7defe6fca451b59063f,用,196,Series 2 Volume 1
5899e7defe6fca451b590657,竹,220,Series 2 Volume 1
5899e7defe6fca451b590659,米,222,Series 2 Volume 1
5899e7defe6fca451b59065a,糸,223,Series 2 Volume 1
5899e7defe6fca451b590660,耳,229,Series 2 Volume 1
5899e7defe6fca451b590661,聞,230,Series 2 Volume 1
5899e7defe6fca451b590672,語,247,Series 2 Volume 1
5899e7defe6fca451b590675,買,250,Series 2 Volume 1
5899e7defe6fca451b590681,通,262,Series 2 Volume 1
5899e7defe6fca451b590685,道,266,Series 2 Volume 1
5899e7defe6fca451b590686,遠,267,Series 2 Volume 1
5899e7defe6fca451b5906a9,両,302,Series 2 Volume 2
5899e7defe6fca451b5906e2,党,359,Series 2 Volume 2
5899e7defe6fca451b5906f8,副,381,Series 2 Volume 2
5899e7defe6fca451b590707,包,396,Series 2 Volume 2
5899e7defe6fca451b590708,化,397,Series 2 Volume 2
5899e7defe6fca451b590709,匹,398,Series 2 Volume 2
5899e7defe6fca451b590717,収,412,Series 2 Volume 2
5899e7defe6fca451b590731,営,438,Series 2 Volume 2
5899e7defe6fca451b59073d,坊,450,Series 2 Volume 2
5899e7defe6fca451b59073e,垂,451,Series 2 Volume 2
5899e7defe6fca451b590747,塩,460,Series 2 Volume 2
5899e7defe6fca451b59074d,夢,466,Series 2 Volume 2
5899e7defe6fca451b590752,妻,471,Series 2 Volume 2
5899e7defe6fca451b5907bf,打,580,Series 2 Volume 2
5899e7defe6fca451b5907c4,投,585,Series 2 Volume 2
5899e7defe6fca451b5907c7,抱,588,Series 2 Volume 2
5899e7defe6fca451b5907ec,昔,625,Series 2 Volume 2
5899e7defe6fca451b590817,標,668,Series 2 Volume 2
5899e7defe6fca451b590823,残,680,Series 2 Volume 2
5899e7defe6fca451b59082c,求,689,Series 2 Volume 2
5899e7defe6fca451b5905d8,太,93,Series 2 Volume 1
5899e7defe6fca451b5905cd,堂,82,Series 2 Volume 1
5899e7defe6fca451b5905d4,多,89,Series 2 Volume 1
5899e7defe6fca451b5905f1,店,118,Series 2 Volume 1
5899e7defe6fca451b5905f4,引,121,Series 2 Volume 1
5899e7defe6fca451b590650,研,213,Series 2 Volume 1
5899e7defe6fca451b590666,英,235,Series 2 Volume 1
5899e7defe6fca451b59068b,金,272,Series 2 Volume 1
5899e7defe6fca451b5906c6,余,331,Series 2 Volume 2
5899e7defe6fca451b5906c8,供,333,Series 2 Volume 2
5899e7defe6fca451b5906c9,依,334,Series 2 Volume 2
5899e7defe6fca451b5906cf,修,340,Series 2 Volume 2
5899e7defe6fca451b5906dc,傾,353,Series 2 Volume 2
5899e7defe6fca451b5906e3,公,360,Series 2 Volume 2
5899e7defe6fca451b59070d,占,402,Series 2 Volume 2
5899e7defe6fca451b590716,反,411,Series 2 Volume 2
5899e7defe6fca451b59071f,司,420,Series 2 Volume 2
5899e7defe6fca451b590749,増,462,Series 2 Volume 2
5899e7defe6fca451b59075b,宅,480,Series 2 Volume 2
5899e7defe6fca451b590761,定,486,Series 2 Volume 2
5899e7defe6fca451b590780,己,517,Series 2 Volume 2
5899e7defe6fca451b59078b,平,528,Series 2 Volume 2
5899e7defe6fca451b59078d,幼,530,Series 2 Volume 2
5899e7defe6fca451b59079f,従,548,Series 2 Volume 2
5899e7defe6fca451b5907b2,悩,567,Series 2 Volume 2
5899e7defe6fca451b5907b4,情,569,Series 2 Volume 2
5899e7defe6fca451b5907cb,拝,592,Series 2 Volume 2
5899e7defe6fca451b5907cd,拾,594,Series 2 Volume 2
5899e7defe6fca451b5907d6,採,603,Series 2 Volume 2
5899e7defe6fca451b5907e0,故,613,Series 2 Volume 2
5899e7defe6fca451b5907ef,晩,628,Series 2 Volume 2
5899e7defe6fca451b5907fe,札,643,Series 2 Volume 2
5899e7defe6fca451b590801,条,646,Series 2 Volume 2
5899e7defe6fca451b59081a,橋,671,Series 2 Volume 2
5899e7defe6fca451b590820,歯,677,Series 2 Volume 2
5899e7defe6fca451b59082b,永,688,Series 2 Volume 2
5899e7defe6fca451b5905c1,同,70,Series 2 Volume 1
5899e7defe6fca451b5905c7,四,76,Series 2 Volume 1
5899e7defe6fca451b5905e2,室,103,Series 2 Volume 1
5899e7defe6fca451b590601,持,134,Series 2 Volume 1
5899e7defe6fca451b590610,暑,149,Series 2 Volume 1
5899e7defe6fca451b590625,歌,170,Series 2 Volume 1
5899e7defe6fca451b590636,火,187,Series 2 Volume 1
5899e7defe6fca451b59065b,紙,224,Series 2 Volume 1
5899e7defe6fca451b590680,送,261,Series 2 Volume 1
5899e7defe6fca451b590687,部,268,Series 2 Volume 1
5899e7defe6fca451b590699,題,286,Series 2 Volume 1
5899e7defe6fca451b59069b,風,288,Series 2 Volume 1
5899e7defe6fca451b59069c,食,289,Series 2 Volume 1
5899e7defe6fca451b59069f,館,292,Series 2 Volume 1
5899e7defe6fca451b5906a7,黒,300,Series 2 Volume 1
5899e7defe6fca451b5906c1,伴,326,Series 2 Volume 2
5899e7defe6fca451b5906ce,信,339,Series 2 Volume 2
5899e7defe6fca451b5906d8,側,349,Series 2 Volume 2
5899e7defe6fca451b5906db,傷,352,Series 2 Volume 2
5899e7defe6fca451b5906f7,則,380,Series 2 Volume 2
5899e7defe6fca451b5906fa,劇,383,Series 2 Volume 2
5899e7defe6fca451b590700,効,389,Series 2 Volume 2
5899e7defe6fca451b59070a,卒,399,Series 2 Volume 2
5899e7defe6fca451b590711,厚,406,Series 2 Volume 2
5899e7defe6fca451b59071a,叫,415,Series 2 Volume 2
5899e7defe6fca451b59071b,召,416,Series 2 Volume 2
5899e7defe6fca451b590732,器,439,Series 2 Volume 2
5899e7defe6fca451b590737,固,444,Series 2 Volume 2
5899e7defe6fca451b59075f,官,484,Series 2 Volume 2
5899e7defe6fca451b59076a,富,495,Series 2 Volume 2
5899e7defe6fca451b59076f,専,500,Series 2 Volume 2
5899e7defe6fca451b5907ab,怖,560,Series 2 Volume 2
